subj_id_no	age	gender	occupation	strategy1	strategy2
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
53	23	m	2	1	Weggeschaut und an vorherige *EEE*-Wörter gedacht.
