subj_id_no	age	gender	occupation	strategy1	strategy2
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
122	21	w	stud_non_psy	1	Bei Erinnern habe ich das Wort im Inneren nochmal wiederholt
