subj_id_no	age	gender	occupation	strategy1	strategy2
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
113	30	m	stud_non_psy	1	Ich habe versucht mir die Worte als BIlder zu merken und eine Gischichte daraus zu basteln.
